STA,lat,lon,n_arrivals
MDJ,44.6164,129.5920,95
AKH,41.4100,43.4928,95
MILM,46.9186,28.8127,94
SRS,41.1172,23.5922,93
RTB,33.0295,40.3077,92
HRA,34.3868,62.2438,92
DMN,27.6090,85.1060,92
DSB,53.2452,-6.3762,92
COLA,64.8738,-147.8511,91
MUD,56.4550,9.1733,91
PMRV,39.4283,-7.3917,90
MOY,51.6667,100.9931,90
IHSB,35.4378,51.2757,90
NAO01,60.8442,10.8865,89
SOH,40.8217,23.3539,89
LIC,6.2244,-5.0278,88
PRNI,30.3519,35.0046,88
SHA1,43.7380,42.6571,88
DAWY,64.0655,-139.3910,88
TREC,49.2948,15.4871,88
FUORN,46.6202,10.2635,88
SHLS,43.1611,79.8852,87
HNVD,34.3154,48.2606,87
TIC,6.6447,-5.0200,87
BCAR,63.0656,-141.7851,87
TUE,46.4722,9.3472,86
GTA2,39.4866,99.7594,86
OBKA,46.5092,14.5489,86
CHBR,25.5950,60.4820,86
LESA,47.4243,12.6770,85
KIC,6.3606,-4.7411,85
GUN,27.9106,85.8794,85
SATY,43.0590,78.4060,85
SVE,56.8270,60.6370,85
TDK,45.0020,78.4060,84
SMOL,48.5139,17.4287,84
CAST,63.4188,-152.0844,84
AHWZ,31.3300,48.6438,83
MZPU,36.4398,51.5687,83
AFRZ,33.4252,59.0150,83
KKN,27.7900,85.2800,83
KBS,78.9256,11.9417,83
SLWS,24.7978,50.6437,82
ANM,64.5646,-165.3732,82
PESTR,38.8672,-7.5902,82
KOWA,14.4967,-4.0167,82
GURO,38.5509,42.0322,82
GRA1,49.6919,11.2217,82
TIR,41.3477,19.8650,82
WR1,-19.9426,134.3395,81
NHDN,31.3928,60.0502,81
E19K,67.4572,-157.2316,81
YKB5,62.4932,-114.6053,81
IMYA,36.3416,60.1017,81
ISR,45.1188,26.5431,80
GRF,49.6919,11.2217,79
FRU1,42.8123,74.6284,79
MTE,40.3997,-7.5442,79
KTK1,69.0117,23.2371,79
PCBR,39.8403,-7.4775,79
APE,37.0689,25.5306,78
ZSN,47.4500,84.8660,78
PKI,27.5710,85.4090,78
EGAK,64.7774,-141.1581,78
VSL,39.4960,9.3780,78
EVN,27.9587,86.8117,77
TXAR,29.3338,-103.6670,77
TRO,69.6325,18.9281,77
DZA,42.8920,71.3310,77
KAPI,-5.0142,119.7517,77
KPKS,43.4660,78.6840,77
HSRG,35.2418,48.2787,77
IDAH,32.7390,59.8680,76
BTLS,45.0410,74.0460,76
RAMN,26.9500,86.6000,76
IMHD,35.6853,50.6675,76
GHRR,46.0605,27.4080,75
IKRD,36.7759,59.5150,75
HUMR,44.5281,24.9804,75
BTO,40.6056,110.0208,75
MYKA,46.6299,13.6416,75
KFJS,28.1866,47.9416,74
GRG,40.9567,22.4014,74
BALB,39.6400,27.8800,74
BDRS,33.9543,48.8808,74
JNU,33.1217,130.8783,74
AS31,-23.6651,133.9053,73
ARE0,69.5348,25.5057,73
LOT,45.4481,23.7694,73
IIGN,55.3503,26.2225,72
GKN,28.0030,84.6370,72
LPAZ,-16.2879,-68.1307,72
GOMU,36.1984,94.8145,72
SSB,45.2792,4.5417,72
AQU,42.3539,13.4019,72
AML,42.1311,73.6941,72
MAW,-67.6039,62.8706,72
KOPT,40.0179,40.4972,72
CUC,39.9931,15.8156,71
YLV,40.5667,29.3728,71
JSSH,25.9122,57.3869,71
TLB,44.5858,28.0420,71
RES,74.6867,-94.9000,71
TRPA,48.1304,22.5391,70
PDYAR,59.6553,112.4408,70
HDA,64.4091,-146.9482,70
SUR,-32.3800,20.8117,70
SOCY,12.1870,53.9874,70
GSI,1.3039,97.5755,69
PRGR,61.6362,45.6272,69
SIRR,46.2675,21.6597,69
IPAY,36.4500,58.9960,69
HAMF,70.6424,23.6843,69
ASAJ,44.1165,142.5968,69
C36M,69.3475,-124.0703,68
RND,63.4062,-148.8530,68
PDG,42.4302,19.2553,68
AK11,50.6784,29.1677,68
PYUN,28.1000,82.9900,68
TIA,36.2114,117.1240,68
MLY,65.0308,-150.7390,68
AKT,41.4800,47.7300,68
PGAV,41.9653,-8.2698,68
ZNJK,36.6700,48.6850,67
UCH,42.2275,74.5134,67
PBAR,38.1750,-7.0390,67
KZIT,30.9063,34.3972,67
ZEA,53.7380,127.2500,67
ARG,36.2161,28.1261,67
WHN,30.5436,114.3500,66
CHM,42.3190,69.6030,66
MMLI,32.4379,35.4216,66
TULEG,76.5374,-68.8237,66
HIA,49.2667,119.7420,66
OZUR,46.0957,25.7864,66
JIRN,27.6600,86.1900,66
PVIS,40.7157,-7.8945,66
USP,43.2669,74.4997,66
MAJO,36.5427,138.2070,66
PLCA,-40.7328,-70.5508,65
BLY,44.7488,17.1839,65
SOEI,-9.7553,124.2672,65
SGDS,43.4520,74.6300,65
PPLA,62.8962,-152.1894,65
DOT,63.6487,-144.0620,65
PZH,26.5033,101.7425,65
STEI,67.9300,15.2420,65
MBRI,29.7942,34.9140,65
POLO,41.3738,-7.7942,64
WRAB,-19.9333,134.3500,64
TPGR,44.8565,28.4196,64
BJI,40.0403,116.1750,64
BZK,41.9600,34.0035,64
ONI,42.5903,43.4525,64
COVR,45.8456,26.2043,64
TSHB,33.6912,56.4676,64
BIOA,47.6913,13.6383,64
IPM,4.4795,101.0255,64
AKAS,36.2327,29.6052,64
CEP,33.8235,71.9090,64
OSL,59.9372,10.7227,63
CKRC,48.8199,14.3095,63
IALM,34.8601,48.1676,63
KRVR,31.6517,56.8586,63
BRZS,49.9820,72.6780,63
NEHR,45.4272,26.2952,63
HAKT,37.5579,43.7071,63
VAY,41.3211,22.5701,63
NIE,49.4182,20.2996,63
C23K,69.8360,-150.6126,62
KOLN,27.7700,83.6000,62
ODD1,59.9120,6.6280,62
COLD,67.2274,-150.2013,62
SRSL,36.2123,45.4339,62
ZFRI,30.5540,35.1780,62
ENH,30.2718,109.4870,61
IAKL,36.6022,58.7566,61
DOMB,62.0424,9.0642,61
NB200,61.0397,11.2148,61
ISAL,55.5711,26.1255,61
MDM,64.9588,-148.2300,60
MDT,32.8140,-4.6070,60
THW,32.7943,71.7427,60
NWAO,-32.9270,117.2340,60
KNT,41.1619,22.8981,60
PBRG,41.8048,-6.7413,60
MCH1,51.9974,-2.9983,60
SKAR,60.6808,8.3044,60
CIMO,46.3116,12.4448,60
SPB2,78.1742,16.3846,59
BOJS,45.5040,15.2520,59
PRED,46.4428,13.5650,59
NSS,64.5300,11.9670,59
MDB,46.1417,24.3806,59
MAHB,36.7666,45.7054,59
MURB,43.2630,12.5246,59
TAPT,34.8842,57.1597,58
ZST,48.1961,17.1025,58
KBK,42.6564,74.9478,57
TNCH,25.0289,98.5197,57
PVRL,41.2756,-7.7161,57
PFVI,37.1328,-8.8268,57
BLS5,59.4229,6.4560,57
FRB,63.7467,-68.5467,57
OTUK,48.2445,72.3378,57
IL31,64.7714,-146.8866,57
KONS,66.4992,13.1193,57
MARR,46.6760,23.1189,56
SEM,50.4080,80.2500,56
HEH,50.2534,127.4127,56
TMCR,64.1643,38.0352,56
TNSS,43.0370,76.9470,56
MATP,-20.4258,28.4994,56
CEST,42.5987,1.2541,56
KIBK,-2.3591,38.0433,55
F20K,67.0486,-155.7251,55
EVO,38.5320,-8.0130,54
RONA,47.6997,16.2963,54
NOR,81.6000,-16.6833,54
GIDE,36.9230,49.9102,54
HMDT,32.2530,35.5260,54
ZVC,49.4389,14.1923,54
BMR,47.6736,23.4960,54
TRF,63.4502,-150.2893,53
EPYK,66.3701,-136.7191,53
AKN,62.1783,6.9974,53
PBEJ,38.0264,-7.8664,53
BER,60.3838,5.3339,53
G19K,66.1434,-157.0870,53
INVG,56.4273,-4.0452,53
GEM,33.2106,35.6632,53
LVV,49.8190,24.0310,52
ZCCA,44.3509,10.9765,52
KESW,54.5886,-3.1048,52
LJU,46.0438,14.5274,52
INTR,42.0115,13.9046,52
DHY,63.0753,-147.3759,52
SNOP,42.0195,35.2068,51
COP,55.6853,12.4325,51
OHR,41.1114,20.7989,51
MESJ,37.8395,-8.2199,51
MSL,36.4000,43.1100,51
MOR8,66.1713,14.4411,51
UCC,50.7983,4.3594,50
SAQZ,36.2645,46.1809,50
ILB,64.7714,-146.8866,50
ILON,69.3712,-81.8243,50
H21K,65.6571,-152.8050,50
D22K,68.8799,-152.6821,50
FETY,36.6353,29.0835,50
SBUM,2.4500,112.2200,49
BRLS,43.0300,69.8360,49
LYN,34.5510,112.4680,49
SRO,47.8133,18.3133,49
XLT,43.8998,116.0805,49
BMDN,33.6716,48.8246,49
PET,53.0239,158.6531,48
JRKH,35.9079,60.3494,48
KRMI,30.1174,34.7250,48
MORF,37.3044,-8.6526,48
ANDN,37.5800,36.3452,48
J25K,64.6130,-145.3697,48
CMMT,18.8128,98.9480,48
KULA,38.5144,28.6607,48
BORG,64.7474,-21.3268,48
KKUL,39.1713,32.9173,47
IMND,37.2575,55.4069,47
HYT,60.8250,-137.5040,47
KEMA,39.2688,38.4932,47
KBN,40.6236,20.7874,47
HOMB,58.2702,8.5052,47
FOEL,52.8898,-3.2012,46
SKO,41.9721,21.4396,46
TAS,41.3250,69.2950,46
CHCP,33.6583,73.2638,46
KZA,42.0778,75.2496,46
IHRS,38.3183,47.0420,46
ARK,41.7789,71.9645,46
C18K,68.6483,-161.1943,46
CHMS,42.9986,74.7513,46
PRAR,47.3617,26.2276,46
PVAQ,37.4037,-7.7173,46
TRKS,41.4725,71.1673,46
TIY,37.7131,112.4340,46
PHP,41.6847,20.4408,45
TOKA,40.3232,36.4783,45
PMR,61.5922,-149.1308,45
POKR,65.1171,-147.4335,45
KNRA,-15.6769,128.7627,45
KLST,36.5179,51.0590,45
BJT,40.0183,116.1680,45
ASAI,40.9178,76.5210,45
PBKT,16.5700,100.9700,45
OPO,-18.5706,47.1879,45
TURR,46.0550,26.0157,45
TTA,62.9301,-156.0116,45
I30M,65.2225,-136.3767,45
ULHL,42.2456,76.2417,45
B20K,70.0079,-157.1599,45
DSI,31.5700,35.3800,45
KDWAN,-23.3804,24.6608,44
LODK,3.4219,35.3616,44
HILR,49.5562,119.7508,44
HERR,44.8810,22.4160,44
BIR,46.2664,27.6264,44
ODBI,45.7633,27.0558,44
MAKGR,-25.8118,24.8008,44
BJRD,37.7000,57.4080,44
ESRB,25.2200,54.2339,44
ARBE,59.4365,25.9841,44
KULM,5.2900,100.6500,43
ALKP,-29.9418,22.2467,43
MMA0B,33.0153,35.4031,43
HLM1,52.5184,-2.8807,43
PCAS,40.0528,-8.4983,43
SOP,47.6833,16.5583,43
MPLH,47.1702,17.5395,43
CLZ,51.8416,10.3724,43
CIT,52.0211,113.5519,43
IDID,55.3148,26.7390,43
MSBI,31.3126,35.3580,43
CWF,52.7383,-1.3072,42
ZHDN,29.3990,60.8102,42
GRMI,38.8081,47.8938,42
NATI,33.2620,35.7364,42
LUBAR,49.9205,27.7576,42
LOF,68.1310,13.5420,42
MTSE,58.7144,23.8146,42
FOO,61.5980,5.0440,42
NVAR,38.4296,-118.3036,42
ERBR,45.7146,40.4835,42
MENT,62.9381,-143.7194,42
DIKM,41.6496,35.2578,42
CJR,46.7133,23.5981,42
VNDA,-77.5172,161.8528,41
LZDM,35.9563,103.6956,41
EPOS,41.5035,42.7279,41
CESX,42.6085,12.5868,41
K27K,64.0292,-142.0758,41
EDMD,54.8312,-1.9636,41
STIP,41.6943,22.1862,41
RAFI,31.7230,46.1140,41
IAS,47.1931,27.5530,41
DL2,38.9061,121.6280,40
MTUR,45.2261,25.0630,40
CPUP,-26.3306,-57.3292,40
JOW,26.8322,128.2745,40
BVA0,53.0249,70.3885,40
ASK,60.4830,5.1950,40
FUR,48.1655,11.2763,39
GHB,29.3790,52.5372,39
RAZG,43.5662,26.5079,39
KRM1,30.5029,57.2714,39
KS15,37.4421,127.8844,39
NHRD,24.7220,49.0150,39
PAIG,39.9272,23.6797,39
STU,48.7719,9.1950,39
LEOM,46.4733,28.2467,39
SHAA,37.5619,68.1236,39
YUK,44.0347,145.8614,39
KELT,40.1486,39.2556,39
INU,35.3488,137.0170,39
